Coord.,Numerical,Analytical,Error,Source,Index
0.07421875,0.01573247413529407,7.716795804997304e-06,0.015724757339489075,fd_2_results,000001
0.08203125,0.016711826208090003,4.962174605918488e-06,0.016706864033484085,fd_2_results,000001
0.08984375,0.017562679026771326,3.1315256735687698e-06,0.01755954750109776,fd_2_results,000001
0.09765625,0.018259845071676117,1.8910089145860652e-06,0.01825795406276153,fd_2_results,000001
0.10546875,0.018782031437444047,1.0420482566773435e-06,0.01878098938918737,fd_2_results,000001
0.11328125,0.019112920331373743,4.772292520193899e-07,0.019112443102121724,fd_2_results,000001
0.12109375,0.019242016840981084,1.4871813087846358e-07,0.019241868122850204,fd_2_results,000001
0.12890625,0.019165202459576373,4.678825893762016e-08,0.019165155671317435,fd_2_results,000001
0.13671875,0.01888495359015908,1.8755025070883538e-07,0.01888476603990837,fd_2_results,000001
0.14453125,0.01841020883348921,6.099458398093355e-07,0.0184095988876494,fd_2_results,000001
0.15234375,0.0177558949915324,1.382645832796654e-06,0.0177545123456996,fd_2_results,000001
0.16015625,0.016942146889733636,2.6219203057956664e-06,0.01693952496942784,fd_2_results,000001
0.16796875,0.01599327795942562,4.522095785203283e-06,0.015988755863640416,fd_2_results,000001
0.17578125,0.01493657502994394,7.401150679822611e-06,0.014929173879264117,fd_2_results,000001
0.18359375,0.013801000571699085,1.176555910693174e-05,0.013789235012592152,fd_2_results,000001
0.19140625,0.012615888067820751,1.8400841928047065e-05,0.012597487225892705,fd_2_results,000001
0.19921875,0.011409711424511613,2.8497518233980823e-05,0.011381213906277632,fd_2_results,000001
0.20703125,0.010208998242815494,4.382630812838256e-05,0.010165171934687111,fd_2_results,000001
0.21484375,0.00903744083861499,6.698152269729335e-05,0.008970459315917697,fd_2_results,000001
0.22265625,0.00791523996539674,0.00010171758626578364,0.007813522379130956,fd_2_results,000001
